YearMonth,High,Average,Low
197401,26,19,11
197402,29,19,10
197403,41,33,25
197404,60,48,37
197405,64,54,44
197406,75,64,52
197407,84,73,61
197408,78,67,56
197409,69,57,45
197410,61,50,39
197411,45,37,29
197412,32,26,19
197501,29,21,12
197502,29,21,13
197503,35,26,17
197504,50,40,30
197505,73,61,50
197506,78,68,57
197507,83,71,60
197508,81,70,59
197509,68,57,46
197510,66,52,39
197511,50,41,32
197512,32,25,17
197601,25,15,6
197602,37,28,18
197603,46,36,27
197604,60,49,37
197605,67,55,43
197606,81,69,56
197607,86,73,59
197608,82,68,54
197609,72,59,45
197610,56,44,33
197611,38,28,18
197612,24,13,2
197701,13,4,-6
197702,31,22,12
197703,49,40,31
197704,65,52,40
197705,79,65,51
197706,77,65,53
197707,85,74,62
197708,76,66,55
197709,70,61,53
197710,58,48,38
197711,43,35,27
197712,27,19,11
197801,20,11,1
197802,22,12,2
197803,38,28,18
197804,56,45,34
197805,70,58,46
197806,79,67,55
197807,79,70,60
197808,81,70,58
197809,77,65,53
197810,58,48,37
197811,44,35,26
197812,28,20,12
197901,15,6,-3
197902,21,11,1
197903,39,31,23
197904,52,42,32
197905,69,56,44
197906,78,67,55
197907,82,70,58
197908,77,67,57
197909,75,62,49
197910,58,48,38
197911,43,35,27
197912,37,28,19
198001,26,18,10
198002,26,17,8
198003,37,28,19
198004,57,46,35
198005,72,59,46
198006,78,66,54
198007,85,73,61
198008,81,70,60
198009,71,61,51
198010,55,45,34
198011,45,36,28
198012,30,22,15
198101,28,19,10
198102,34,25,16
198103,47,36,25
198104,61,49,38
198105,68,55,42
198106,79,68,57
198107,81,70,59
198108,79,68,58
198109,69,59,49
198110,57,47,36
198111,47,38,29
198112,30,22,15
198201,18,8,-3
198202,28,19,9
198203,38,30,22
198204,53,42,31
198205,72,62,52
198206,74,62,50
198207,82,72,61
198208,78,67,56
198209,70,59,49
198210,63,51,39
198211,43,35,27
198212,38,30,23
198301,29,23,17
198302,35,28,20
