Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
5/18/2017,Epic: Cassiopeia,Epic: Cassiopeia,2.75,debit,Epic Meal,Bank of America ,,
5/18/2017,Epic: Cassiopeia,Epic: Cassiopeia,2.75,debit,Epic Meal,Bank of America ,,
5/18/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
5/17/2017,Epic: Cassiopeia,Epic: Cassiopeia,3.75,debit,Epic Meal,Bank of America ,,
5/16/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
5/16/2017,Epic: King's Cross,Epic: King's Cross,6.25,debit,Epic Meal,Bank of America ,,
5/3/2017,Epic: Cassiopeia,Epic: Cassiopeia,5.25,debit,Epic Meal,Bank of America ,,
5/2/2017,Epic: Cassiopeia,Epic: Cassiopeia,6.75,debit,Epic Meal,Bank of America ,,
5/1/2017,Epic: Cassiopeia,Epic: Cassiopeia,5.5,debit,Epic Meal,Bank of America ,,
4/28/2017,Epic: Cassiopeia,Epic: Cassiopeia,4.75,debit,Epic Meal,Bank of America ,,
4/27/2017,Epic: Cassiopeia,Epic: Cassiopeia,5.75,debit,Epic Meal,Bank of America ,,
4/26/2017,Epic: Cassiopeia,Epic: Cassiopeia,4.75,debit,Epic Meal,Bank of America ,,
4/25/2017,Epic: Cassiopeia,Epic: Cassiopeia,6.25,debit,Epic Meal,Bank of America ,,
4/24/2017,Epic: Cassiopeia,Epic: Cassiopeia,4.75,debit,Epic Meal,Bank of America ,,
4/21/2017,Epic: Cassiopeia,Epic: Cassiopeia,4.25,debit,Epic Meal,Bank of America ,,
4/20/2017,Epic: Cassiopeia,Epic: Cassiopeia,4.75,debit,Epic Meal,Bank of America ,,
4/19/2017,Epic: Cassiopeia,Epic: Cassiopeia,5,debit,Epic Meal,Bank of America ,,
4/19/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
4/18/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
4/18/2017,Epic: King's Cross,Epic: King's Cross,3,debit,Epic Meal,Bank of America ,,
4/14/2017,Epic: Cassiopeia,Epic: Cassiopeia,4.75,debit,Epic Meal,Bank of America ,,
4/14/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
4/13/2017,Epic: Black Dragon,Epic: Black Dragon,1.25,debit,Epic Meal,Bank of America ,,
4/13/2017,Epic: Cassiopeia,Epic: Cassiopeia,5.25,debit,Epic Meal,Bank of America ,,
4/12/2017,Epic: Cassiopeia,Epic: Cassiopeia,4,debit,Epic Meal,Bank of America ,,
4/12/2017,Epic: Farmers' Market,Epic: Farmers' Market,2,debit,Epic Meal,Bank of America ,,
4/11/2017,Epic: Cassiopeia,Epic: Cassiopeia,4,debit,Epic Meal,Bank of America ,,
4/11/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
4/10/2017,Epic: Cassiopeia,Epic: Cassiopeia,5.75,debit,Epic Meal,Bank of America ,,
4/10/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
4/7/2017,Epic: Cassiopeia,Epic: Cassiopeia,4.5,debit,Epic Meal,Bank of America ,,
4/7/2017,Epic: Farmers' Market,Epic: Farmers' Market,2.25,debit,Epic Meal,Bank of America ,,
4/6/2017,Epic: Cassiopeia,Epic: Cassiopeia,5,debit,Epic Meal,Bank of America ,,
4/6/2017,Epic: Farmers' Market,Epic: Farmers' Market,0.75,debit,Epic Meal,Bank of America ,,
3/29/2017,Epic: Cassiopeia,Epic: Cassiopeia,3.25,debit,Epic Meal,Bank of America ,,
3/29/2017,Epic: Farmers' Market,Epic: Farmers' Market,2.5,debit,Epic Meal,Bank of America ,,
3/29/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
3/28/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
3/28/2017,Epic: King's Cross,Epic: King's Cross,5,debit,Epic Meal,Bank of America ,,
3/27/2017,Epic: Black Dragon,Epic: Black Dragon,1.25,debit,Epic Meal,Bank of America ,,
3/27/2017,Epic: Cassiopeia,Epic: Cassiopeia,4.75,debit,Epic Meal,Bank of America ,,
3/27/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
3/24/2017,Epic: Black Dragon,Epic: Black Dragon,1,debit,Epic Meal,Bank of America ,,
3/24/2017,Epic: Cassiopeia,Epic: Cassiopeia,4.25,debit,Epic Meal,Bank of America ,,
3/24/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
3/23/2017,Epic: Cassiopeia,Epic: Cassiopeia,5.25,debit,Epic Meal,Bank of America ,,
3/23/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
3/22/2017,Epic: Farmers' Market,Epic: Farmers' Market,1.25,debit,Epic Meal,Bank of America ,,
3/22/2017,Epic: King's Cross,Epic: King's Cross,5.75,debit,Epic Meal,Bank of America ,,
